Date : 2022-10-08 09:51:56
Directory : d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler
Total : 178 files,  55598 codes, 7759 comments, 4910 blanks, all 68267 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Go       |        177 |     55,596 |      7,759 |      4,908 |     68,263 |
| Markdown |          1 |          2 |          0 |          2 |          4 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\snapshot_test.go                                     | Go       |        206 |         15 |         11 |        232 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\heap\heap.go                                               | Go       |        158 |         59 |         30 |        247 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\heap\heap_test.go                                          | Go       |        176 |         37 |         23 |        236 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\queue\events.go                                            | Go       |         38 |         49 |          5 |         92 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\queue\scheduling_queue.go                                  | Go       |        685 |        230 |        105 |      1,020 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\queue\scheduling_queue_test.go                             | Go       |      1,738 |        155 |        135 |      2,028 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\queue\testing.go                                           | Go       |         31 |         18 |          7 |         56 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\metric_recorder.go                                          | Go       |         37 |         24 |         12 |         73 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\metric_recorder_test.go                                     | Go       |         77 |         16 |         11 |        104 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\metrics.go                                                  | Go       |        190 |         35 |         26 |        251 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\profile_metrics.go                                          | Go       |         20 |         22 |          8 |         50 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\resources\resources.go                                      | Go       |        143 |         40 |         19 |        202 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\resources\resources_test.go                                 | Go       |        513 |         19 |         13 |        545 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\profile\profile.go                                                  | Go       |         80 |         22 |         14 |        116 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\profile\profile_test.go                                             | Go       |        272 |         15 |         13 |        300 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\schedule_one.go                                                     | Go       |        626 |        156 |         78 |        860 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\schedule_one_test.go                                                | Go       |      2,489 |         76 |        157 |      2,722 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\scheduler.go                                                        | Go       |        360 |         94 |         65 |        519 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\scheduler_test.go                                                   | Go       |        360 |         27 |         41 |        428 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\testing\fake_extender.go                                            | Go       |        259 |         80 |         47 |        386 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\testing\fake_plugins.go                                             | Go       |        145 |         52 |         41 |        238 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\testing\framework_helpers.go                                        | Go       |         99 |         30 |         18 |        147 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\testing\workload_prep.go                                            | Go       |         81 |         44 |         13 |        138 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\testing\wrappers.go                                                 | Go       |        487 |        122 |         88 |        697 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\util\pod_resources.go                                               | Go       |         46 |         33 |          7 |         86 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\util\pod_resources_test.go                                          | Go       |        148 |         15 |          9 |        172 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\util\utils.go                                                       | Go       |         96 |         34 |         19 |        149 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\util\utils_test.go                                                  | Go       |        217 |         21 |         22 |        260 |
| Total                                                                                                                                           |          |     55,598 |      7,759 |      4,910 |     68,267 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
