"filename", "language", "Go", "Markdown", "comment", "blank", "total"
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\examples\multipoint\multipoint.go", "Go", 51, 0, 27, 14, 92
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\examples\prebind\prebind.go", "Go", 25, 0, 21, 9, 55
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\examples\stateful\stateful.go", "Go", 46, 0, 35, 12, 93
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\feature\feature.go", "Go", 7, 0, 18, 3, 28
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\helper\normalize_score.go", "Go", 29, 0, 18, 8, 55
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\helper\normalize_score_test.go", "Go", 62, 0, 15, 8, 85
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\helper\shape_score.go", "Go", 19, 0, 27, 5, 51
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\helper\spread.go", "Go", 82, 0, 22, 13, 117
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\helper\spread_test.go", "Go", 81, 0, 15, 6, 102
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\imagelocality\image_locality.go", "Go", 70, 0, 37, 20, 127
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\imagelocality\image_locality_test.go", "Go", 287, 0, 63, 39, 389
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\interpodaffinity\filtering.go", "Go", 277, 0, 68, 47, 392
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\interpodaffinity\filtering_test.go", "Go", 1406, 0, 23, 32, 1461
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\interpodaffinity\plugin.go", "Go", 82, 0, 38, 14, 134
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\interpodaffinity\scoring.go", "Go", 201, 0, 53, 39, 293
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\interpodaffinity\scoring_test.go", "Go", 865, 0, 52, 15, 932
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\names\names.go", "Go", 26, 0, 15, 3, 44
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodeaffinity\node_affinity.go", "Go", 216, 0, 52, 42, 310
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodeaffinity\node_affinity_test.go", "Go", 1138, 0, 17, 15, 1170
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodename\node_name.go", "Go", 38, 0, 24, 13, 75
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodename\node_name_test.go", "Go", 45, 0, 15, 7, 67
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodeports\node_ports.go", "Go", 88, 0, 35, 24, 147
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodeports\node_ports_test.go", "Go", 235, 0, 15, 11, 261
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\balanced_allocation.go", "Go", 78, 0, 32, 21, 131
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\balanced_allocation_test.go", "Go", 251, 0, 109, 8, 368
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\fit.go", "Go", 226, 0, 72, 38, 336
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\fit_test.go", "Go", 735, 0, 15, 33, 783
